2024_10_10,Fossil brown coal / lignite,0.119111024
2024_10_10,Fossil hard coal,0.0503129
2024_10_10,Fossil oil,0.006401942
2024_10_10,Fossil gas,0.07335685
2024_10_10,Others,0.002654834
2024_10_10,Waste non-renewable,0.011150302
2024_10_09,Waste renewable,0.011292109
2024_10_09,Hydro Run-of-River,0.051240936
2024_10_09,Hydro water reservoir,0.0022260125
2024_10_09,Biomass,0.08742003
2024_10_09,Wind offshore,0.06220042
2024_10_09,Wind onshore,0.3332281
2024_10_09,Solar,0.12412791
2024_10_09,Geothermal,0.000315565
2024_10_09,Fossil brown coal / lignite,0.19205114
2024_10_09,Fossil hard coal,0.044341147
2024_10_09,Fossil oil,0.007906183
2024_10_09,Fossil gas,0.06795735
2024_10_09,Others,0.0030959486
2024_10_09,Waste non-renewable,0.012597014
2024_10_08,Waste renewable,0.01233198
2024_10_08,Hydro Run-of-River,0.056671176
2024_10_08,Hydro water reservoir,0.0025259359
2024_10_08,Biomass,0.09219666
2024_10_08,Wind offshore,0.08118177
2024_10_08,Wind onshore,0.23990978
2024_10_08,Solar,0.10018944
2024_10_08,Geothermal,0.0003337844
2024_10_08,Fossil brown coal / lignite,0.23442489
2024_10_08,Fossil hard coal,0.073829494
2024_10_08,Fossil oil,0.007036536
2024_10_08,Fossil gas,0.082201175
2024_10_08,Others,0.0034100134
2024_10_08,Waste non-renewable,0.013757329
2024_10_07,Waste renewable,0.012054925
2024_10_07,Hydro Run-of-River,0.053471
2024_10_07,Hydro water reservoir,0.0032465803
2024_10_07,Biomass,0.08873098
2024_10_07,Wind offshore,0.092838004
2024_10_07,Wind onshore,0.23387796
2024_10_07,Solar,0.11770184
2024_10_07,Geothermal,0.0003282062
2024_10_07,Fossil brown coal / lignite,0.21496618
2024_10_07,Fossil hard coal,0.069695026
2024_10_07,Fossil oil,0.0071140914
2024_10_07,Fossil gas,0.08922773
2024_10_07,Others,0.0032998028
2024_10_07,Waste non-renewable,0.013447584
2024_10_06,Waste renewable,0.014114128
2024_10_06,Hydro Run-of-River,0.067199335
2024_10_06,Hydro water reservoir,0.00095881225
2024_10_06,Biomass,0.103149645
2024_10_06,Wind offshore,0.10152069
2024_10_06,Wind onshore,0.22268157
2024_10_06,Solar,0.17253466
2024_10_06,Geothermal,0.00038146295
2024_10_06,Fossil brown coal / lignite,0.18987575
2024_10_06,Fossil hard coal,0.030692302
2024_10_06,Fossil oil,0.007773596
2024_10_06,Fossil gas,0.06941595
2024_10_06,Others,0.0039589666
2024_10_06,Waste non-renewable,0.015743079
2024_10_05,Waste renewable,0.016541682
2024_10_05,Hydro Run-of-River,0.07980277
